market_theme,rank,keyword,story_title,author,url,objectID,clean_text
AI Content Platforms & Automation,1,creator,Motorola announces a partnership with GrapheneOS,godelski,https://news.ycombinator.com/item?id=47228425,47228425,"Motorola announces a partnership with GrapheneOS. That's good to hear about graphene. I've been able to get most of my friends to move to signal but yeah the walled gardens are annoying. Does graphene not support the same RCS that Google does? As for Android, I think the real magic happens when you just realize your phone is another computer and you can do normal computer things with it. It just starts unlocking so many doors. One thing I like to do is have my desktop sit behind my TV. Big screen for movies and games. For everything else, there's ssh. Your phone is just another terminal in that environment. But the modern version of a terminal means your local machine can actually do meaningful things too. Tbh, it's really what the big tech companies are doing too, they just pretend they aren't. Also, since you're new to Android check out revanced. I'm not sure if you need this on graphene but you can recompile apps. Mostly used for removing ads but there's more to it than that. I'm hoping one of these days we can just treat computers like computers. Stop creating these walled gardens. It really slows down innovation and honestly, I believe the big companies would make more money doing it. After all, their whole business sits on top of open source work. The computer is nothing without the program. The smart phone is nothing without the app. Why can't we recognize that the success of these machines is that they're environments. You can't create a product for everybody, but building environments doesn't have the same limitations"
AI Content Platforms & Automation,2,platform,Motorola announces a partnership with GrapheneOS,cogman10,https://news.ycombinator.com/item?id=47217908,47217908,"Motorola announces a partnership with GrapheneOS. The original Google Nexus program showed that there is a market for more open phones and platforms. I don't disagree with you that in order to sell, these devices need to be somewhat appealing to more than just devs. However, I will say that the dev market isn't as small as it once was. A decent phone with an open platform would be something a lot of devs would likely prioritize buying. It won't be the next Iphone, but it will be a pretty dedicated market segment. Framework is a good example of that. A laptop business that stays afloat mostly because there is a desire for repairable long lasting products, even if it's a bit niche. Given a lot of phone manufacturers are now trying bizarre edges to get ahead (like foldable... who wants that?) it seems like a good rarely taken route."
AI Content Platforms & Automation,3,platform,Jolla phone – a full-stack European alternative,joe_mamba,https://news.ycombinator.com/item?id=47216272,47216272,"Jolla phone – a full-stack European alternative. If this is similar to LineageOS, then it's always potentially only a matter of time until some banking and payment apps stop working due to failing security attestation pushed by a Google update. We need native apps that pass attestation out of the box for that phone/OS, not relying on hacks that may or may not work in the future. This is not good UX and it poisons the well if you push users to a new platform then they discover some apps don't work as you promised."
Ad-Based Monetization Trade-offs,1,monetization,I built a demo of what AI chat will look like when it's “free” and ad-supported,nickk81,https://news.ycombinator.com/item?id=47205891,47205891,"I built a demo of what AI chat will look like when it's “free” and ad-supported. We all know the pattern: something useful launches → it becomes popular → it needs to make money → ads everywhere. AI chat is heading the same way. So I built a fully interactive demo that shows what an ad-supported AI chatbot could actually look like: https://99helpers.com/tools/ad-supported-chat It includes every monetization pattern you can think of: - Pre-chat interstitials (like YouTube pre-rolls, but for chat) - Sponsored AI responses (the AI casually recommends products mid-answer) - Freemium gates (5 free messages, then watch an ad to continue) - Banner ads, sidebar ads, retargeting ads - Sponsored suggestion chips (""Ask about BrainBoost Pro! "")"
Ad-Based Monetization Trade-offs,2,platform,"I built a demo of what AI chat will look like when it's ""free"" and ad-supported",phreeza,https://news.ycombinator.com/item?id=47206436,47206436,"I built a demo of what AI chat will look like when it's ""free"" and ad-supported. Observationally, ad spamminess is inversely correlated with user intent and platform prestige. So I suspect it will take quite a while until it gets quite this bad for the premium platforms."
Ad-Based Monetization Trade-offs,3,platform,"I built a demo of what AI chat will look like when it's ""free"" and ad-supported",api,https://news.ycombinator.com/item?id=47206845,47206845,"I built a demo of what AI chat will look like when it's ""free"" and ad-supported. Is this avoidable? These things cost money to run. Who pays if not with ads? There will I’m sure be the ability to pay and not have ads just like there is on streaming platforms, podcasts, etc. Or should there be tax supported free AI?"
Creator Economy & AI Disruption,1,film,Show HN: OneSentence – An offline macOS voice utility built entirely with AI,snowy_owl,https://www.onesentence.app,47180169,"Show HN: OneSentence – An offline macOS voice utility built entirely with AI. Hi HN, I’m sharing OneSentence, an offline voice utility for macOS (M-series). I built this for two reasons: first, I wanted to see how far I could push cheap AI, and second, I wanted to use this utility. The idea was born out of using Emacs packages with Whisper to dictate to my machine. I had found it effective to simply speak and articulate context to coding agents. OneSentence does four things well: privacy, speech-to-text, text-to-speech, and template insertion. The development process was probably the most interesting part. I used Gemini 3 Pro Preview and 3 Flash Preview almost exclusively (yes, it was not Claude). It went from chatting to writing light specs and decomposing to tasks, to finally setting up a Ralph-style orchestrator that I would leave running overnight. I also had not a few of late nights; making progress this way was exhausting, but still fun. It's not something I ever would have built without AI. The models helped me maintain strict linters, achieve upper-80s test coverage, write the Cloudflare services, and walked me through the maze of Apple's sandboxing, certificate provisioning and signing. End to end, everything was made through Gemini, down to the scripting and recording of the promo video. The linter became a quality-of-context goad. Yes, I really do want explicit type interfaces even through Swift does fine without them, and no you will not write more than 800 lines of code in a file. Pain points: The UI tests are slow, test logs flood context, and the AI hallucinates (who knew). Cloning lib code into tmp/ to answer questions became a habit. Under the hood, it relies on a sizeable set of technologies. It feels like the whole thing is like Aesop's polite gnat that rested on a bull. In other words: built on the shoulders of giants. Georgi Gerganov, Hyeongju Kim, Steve Yegge, Sindre Sorhus, Gwendal Roué, Zorg, the team who made Whisper, and so so many others: you have my thanks. The app is built in Swift, it uses Whisper.cpp and ONNX for inference and supports Whisper and Parakeet for speech-to-text and uses Supertonic text-to-speech. I got to try a few new (to me) tools: Prek for pre-commit hooks, Tuist for project generation, dvc for model versioning and management, beads for agent work tracking, et.al. Gemini converted raw Whisper .pt files to CoreML using PyTorch, and I spent a lot of time experimenting to see how much of a difference using the Apple Neural Engine would make (interestingly, not as much as I expected in my use case, but both modes work). Parakeet is also in there just for kicks (Whisper produces better results). I originally planned to launch on the Mac App Store, but the reviewers insisted I remove a behavior I felt was central to the app. So instead I decided to distribute it directly, using Cloudflare Workers/R2, and LemonSqueezy for sales & licensing. Supertonic's diffusion models are interesting to use; they never read a text exactly the same way twice. If you do decide to try OneSentence, just for fun, turn off the ""Refine Punction"" setting and see what happens when you have it read a sentence with lots of exclamation marks, my boys got a kick out of it. I set the defaults for myself. Transcription defaults to Whisper Large V2—which is relatively old, large and slow, but I found the transcription quality excellent. I am offering this primarily as a one-time purchase, But there is also a cheap subscription option there if people prefer it. I know there are other product options, other models, and even macOS's own functionality. Choice is good. This has been my evenings-and-weekends project for the last several months, and as a daily driver, I get a lot of value out of it. You can check it out here: https://onesentence.app/ Use the promo code I3MDE1MQ to get 40% off in the next two weeks. I'll be around to answer any questions. Cheers!"
Creator Economy & AI Disruption,2,film,Show HN: CLI for agentic activity tracking in Codex,aperi,https://news.ycombinator.com/item?id=47163587,47163587,"Show HN: CLI for agentic activity tracking in Codex. Hey hackers, I made a CLI to sync your Codex prompts + agent reasoning + file diffs to a shared memory called Codaph ( https://codaph.com ). The goal was to sync agent activity across my team for a much richer understanding of the codebase. Under the hood, it uses Mubit ( https://mubit.ai ) - memory engine we built based on associative retrieval. Mubit is built on the concepts of hypervectors and clustering (with time based decay for now) Currently, Codaph works with Codex with plans to add other agentic tools soon. Codaph is open source (vibe coded lol). Would love to hear some feedback and if you want to try it Mubit is free (api key is available on https://console.mubit.ai )"
Creator Economy & AI Disruption,3,platform,Show HN: Riverse – Local AI agent with memory that grows over time,collenjk,https://github.com/wangjiake/JKRiver,47147779,"Show HN: Riverse – Local AI agent with memory that grows over time. Hey HN, I built a personal AI agent that runs locally and remembers you across conversations. The problem: ChatGPT/Claude memory is basically a flat list — a few facts, no timeline, no confidence levels, everything in the cloud. Switch platforms and you start over. Riverse uses what I call the River Algorithm — conversations flow through like water, important stuff settles like sediment into your profile, contradictions get washed away over time. There's an offline ""sleep"" process that consolidates memories, kind of like how human sleep works. v1.0 supports text/voice/image input, Telegram & Discord bots, pluggable tools, custom YAML skills, and MCP protocol. Everything stays on your machine. I also built a companion tool (RiverHistory) that imports your existing ChatGPT/Claude/Gemini chat history and extracts a starter profile — so your AI knows you from day one. Would love feedback. GitHub: https://github.com/wangjiake/JKRiver"
Developer Ecosystem & Integrations,1,film,"Show HN: GitAgent – Clone a repo, get an AI agent – Claude Code / OpenClaw",Shreyaskapale,https://www.gitagent.sh/,47216582,"Show HN: GitAgent – Clone a repo, get an AI agent – Claude Code / OpenClaw. Hey HN, We built GitAgent — a git-native, framework-agnostic open standard for defining AI agents. The idea is simple: your repo IS the agent. npx @open-gitagent/gitagent@latest run -r https://github.com/shreyas-lyzr/architect -a claude That one command clones the repo, reads agent.yaml + SOUL.md + skills/, and launches it with Claude Code. Switch `-a openai` or `-a lyzr` to run the same agent on a different framework. No code changes. Goal: is keep the gitagent as a open standard ledger for an AI Agent in a VM, with versioned memories, skills etc. An agent is just files: my-agent/ ├── agent.yaml # config: model, skills, tools ├── SOUL.md # identity, personality, expertise ├── RULES.md # boundaries, constraints ├── skills/ # capabilities ├── knowledge/ # reference docs └── memory/ # persistent context Why Git? Because agents need the same things code needs — versioning, branching, diffing, code review, and collaboration. We already have the best tool for that. What we've built: - CLI that validates, exports, imports, and runs agents - 8 adapters: Claude Code, OpenAI, CrewAI, OpenClaw, Nanobot, Lyzr, GitHub Models - Public registry at registry.gitagent.sh — browse and share agents - Compliance framework (FINRA, SEC, Fed) — audit logging, human-in-the-loop, kill switches Try it: https://gitagent.sh Registry: https://registry.gitagent.sh GitHub: https://github.com/open-gitagent/gitagent Discord: https://discord.gg/hVZV8Xyjdc Patterns 1. Human-in-the-Loop — Agents create a branch and PR for human review before updating memory or skills. 2. Live Agent Memory — memory/runtime/ stores dailylog.md, key-decisions.md, and context.md to persist state across sessions. 3. Agent Versioning — Every agent change is a git commit. Roll back broken prompts or revert bad skills anytime. 4. Shared Context via Monorepo — Root-level context.md, skills/, tools/, and knowledge/ are inherited by all agents automatically. 5. Branch-based Deployment — Promote agent changes through dev → staging → main, just like shipping software. 6. Knowledge Tree — knowledge/ folder stores entity relationships as a directory tree with embeddings for structured reasoning. 7. Agent Forking & Remixing — Fork a public agent repo, customize SOUL.md, add skills, and PR improvements back upstream. CI/CD for Agents — Run gitagent validate on every push via GitHub Actions. Test, block bad merges, auto-deploy. 8. Agent Diff & Audit Trail — git diff shows what changed; git blame traces every line to who wrote it and when. Tagged Releases — Tag stable versions like v1.1.0. Pin production to a tag, canary on staging, roll back instantly. 9. Secret Management — Agent config is version-controlled; API keys stay in .env excluded via .gitignore. 10. Lifecycle Hooks — hooks/bootstrap.md and hooks/teardown.md define what an agent does on startup and shutdown. 11. Git-Native — Version control, branching, diffing, and collaboration are built in. 12. Framework-Agnostic — Works with Claude Code, OpenAI, CrewAI, LangChain, and more. 13. Compliance-Ready — First-class FINRA, SEC, and Federal Reserve support with audit logging and supervision. 14. Composable — Skills, tools, sub-agents, and workflows can extend, depend on, and delegate to each other. MIT licensed. Would love feedback."
